id,category,reviewTag*,desc,linkToRepository,linkToOpenedIssue,fixed (y/n/m),cd-linter-bug,comment-labels,fix-labels,reaction,lastChecked,state,isAssigned,numUpvotes,numDownvotes,numComments,label*,monitoringTag*,contributors,contributorsSinceIssue,commitsSinceIssue,resolution-time
larsyunker__unithandler__Versioning__requirementstxt__numpy__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/larsyunker/unithandler,omitted,y,,,wrong-fix,positive,200205-180848,closed,FALSE,0,0,2,NULL,decision:fix,1,2,10,291505243
runarberg__trompt__Job-Allow-Failure__test-unstable,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/runarberg/trompt,omitted,,,,,,200205-180840,opened,FALSE,0,0,0,NULL,NULL,2,0,0,
sherpa-team__sherpa__Manual-Job__test-clang-strict-LO_Z,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/sherpa-team/sherpa,omitted,y,,,,,200205-180851,closed,FALSE,0,0,0,NULL,reaction:negative,36,16,58,3600843163
elad-noor__equilibrator-api__Versioning__gitlabyaml__wheel__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/elad.noor/equilibrator-api,omitted,,,,,,200205-180843,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
jamietanna__jvt-me__Job-Allow-Failure__test_links,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/jamietanna/jvt.me,omitted,y,,,,not-now,200205-180901,closed,FALSE,0,1,1,NULL,NULL,2,2,2173,5144456847
psono__psono-server__Versioning__requirementstxt__six__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/psono/psono-server,omitted,y,,,,not-now,200205-181110,closed,FALSE,0,1,5,NULL,reason:benefitoffutureupdates,7,3,94,8845580793
dalton__dalton__Job-Allow-Failure__nightly-mpi-int64,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/dalton/dalton,omitted,n,,nightly-build,job-removed,reject,200205-181115,closed,FALSE,0,0,3,NULL,decision:reject,70,11,80,
angreal__angreal__Job-Allow-Failure__init_gitlab_python,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/angreal/angreal,omitted,n,,,,reject,200205-181120,closed,FALSE,0,1,1,NULL,NULL,4,3,32,
eyeo__websites__web-adblockplus-org__Manual-Job__tests,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/eyeo/websites/web.adblockplus.org,omitted,,,,,,200205-180849,deleted,FALSE,1,0,3,NULL,temporary,-1,-1,-1,
john-carroll-p__rschedule__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/john.carroll.p/rschedule,omitted,y,,job-removed,,,200205-181122,closed,FALSE,0,1,0,NULL,reaction:negative,1,1,69,
experimentslabs__engine_elabs__Job-Allow-Failure__bundle-outdated,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/experimentslabs/engine_elabs,omitted,n,,depedency-scanning,,not-now,200205-181131,closed,FALSE,0,1,3,NULL,decision:reject,4,2,34,
inkscape__inkscape-web__Versioning__requirementstxt__django-extratest__any-upper-version,Versioning,any-upper-version,DROPPED FOR NOW,https://gitlab.com/inkscape/inkscape-web,omitted,n,,tool-upgrade,,reject,200205-181133,closed,FALSE,0,2,6,NULL,reason:benefitoffutureupdates,22,6,120,
litecord__litecord__Versioning__requirementstxt__pipenv__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/litecord/litecord,omitted,n,,tool-upgrade,,reject,200205-181138,closed,FALSE,0,0,3,NULL,reaction:negative,16,3,94,
linagora__petals-cockpit__Job-Retry__test-frontend,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/linagora/petals-cockpit,omitted,n,,flaky-tool,self-admitted,not-now,200205-181143,closed,FALSE,0,1,2,NULL,temporary,10,7,117,
juhani__go-semrel-gitlab__Manual-Job__test,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/juhani/go-semrel-gitlab,omitted,n,,,,,200205-181145,closed,FALSE,0,0,0,NULL,reaction:negative,3,1,4,
GitLabRGI__erdc__geopackage-python__Versioning__requirementstxt__lxml__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/GitLabRGI/erdc/geopackage-python,omitted,,,,,,200205-181109,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
bitseater__meteo__Job-Allow-Failure__package-snap,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/bitseater/meteo,omitted,y,,,,positive,200205-181149,closed,TRUE,1,0,1,NULL,request-mr,15,3,22,3503753
r1dScripts__chatty_server__Versioning__requirementstxt__dnspython__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/r1dScripts/chatty_server,omitted,,,,,,200205-181111,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
dataengi__marketing__www-dataengi-com__Manual-Job__check_links,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/dataengi/marketing/www.dataengi.com,omitted,,,,,,200205-181112,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
phyohtetarkar__github-jobs__Manual-Job__build,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/phyohtetarkar/github-jobs,omitted,,,,,,200205-181113,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
xomachine__NESM__Job-Allow-Failure__test-devel,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/xomachine/NESM,omitted,n,,optional-job,,reject,200205-181150,closed,FALSE,0,1,1,NULL,NULL,2,2,8,
librespacefoundation__satnogs__satnogs-docs__Versioning__requirementstxt__pyserial__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/librespacefoundation/satnogs/satnogs-docs,omitted,,,,,,200205-181118,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
emcrp__src__Manual-Job__build-and-push,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/emcrp/src,omitted,,,,,,200205-181119,opened,FALSE,0,0,0,NULL,NULL,12,0,0,
simulant__simulant__Job-Allow-Failure__test-dreamcast-sh4-gcc,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/simulant/simulant,omitted,n,,temporary-smell,self-admitted,reject,200205-181152,closed,FALSE,0,1,3,NULL,temporary,5,3,330,
perobertson__dotfiles__Manual-Job__py38,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/perobertson/dotfiles,omitted,y,,temporary-smell,,,200205-181159,closed,TRUE,0,0,0,NULL,NULL,9,1,51,5694944417
charts__gitlab__Job-Allow-Failure__production_specs_eks,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/charts/gitlab,omitted,,,,,,200205-181123,deleted,FALSE,0,0,1,S4,decision:accept,-1,-1,-1,
aegir__aegir__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/aegir/aegir,omitted,,,,,,200205-181124,closed,FALSE,0,1,4,NULL,reaction:negative,3,0,0,
freedesktop-sdk__freedesktop-sdk__Job-Allow-Failure__minimal_systemd_vm_powerpc64le,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/freedesktop-sdk/freedesktop-sdk,omitted,n,,"temporary-smell, agreement, optional-job, flaky-env",self-admitted,not-now,200205-181200,closed,FALSE,0,1,6,NULL,temporary,57,28,842,
anited__publish__Versioning__requirementstxt__Markdown__any-upper-version,Versioning,any-upper-version,DROPPED FOR NOW,https://gitlab.com/anited/publish,omitted,y,,no-trust,,reject,200205-181207,closed,FALSE,0,1,1,NULL,decision:fix,2,1,4,235684719
dodgyville__pygltflib__Versioning__requirementstxt__dataclasses__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/dodgyville/pygltflib,omitted,y,,wrong-fix,,,200205-181209,closed,FALSE,0,0,0,NULL,decision:fix,3,2,17,68296527
iba-aes__webcie__website__Job-Retry__Make-Docker-image,Job-Retry,script_failure,DROPPED FOR NOW,https://gitlab.com/iba-aes/webcie/website,omitted,,,,,,200205-181135,deleted,FALSE,0,0,2,Intern,reaction:positive,-1,-1,-1,
oly-exams__exam_tools__Versioning__requirementstxt__future__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/oly-exams/exam_tools,omitted,,,,,,200205-181136,opened,FALSE,0,0,0,NULL,NULL,11,0,0,
datadrivendiscovery__sklearn-wrap__Versioning__requirementstxt__git-https---gitlab-com-datadrivendiscovery-d3m-git-devel__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/datadrivendiscovery/sklearn-wrap,omitted,y,wrong-detection,,,positive,200205-181216,closed,FALSE,0,1,2,NULL,decision:reject,11,5,33,
Manu343726__tinyrefl__Job-Retry__conan-integration-clang60,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/Manu343726/tinyrefl,omitted,,,,,,200205-181141,opened,FALSE,0,0,0,NULL,NULL,3,0,0,
gioxa__imagebuilder__Job-Retry__build_rootfs-pass_two,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/gioxa/imagebuilder,omitted,,,,,,200205-181141,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
elixire__elixire__Versioning__gitlabyaml__virtualenv__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/elixire/elixire,omitted,n,pip-install,,,reject,200205-181224,closed,FALSE,0,1,2,NULL,reaction:negative,14,1,6,
offa__docker-images-ci__Job-Retry__stm32-eth_clang-5,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/offa/docker-images-ci,omitted,y,,new-linters-suggestion,,positive,200205-181228,closed,TRUE,1,0,1,enhancement,decision:fix,1,1,4,99809799
vindarel__abelujo__Job-Allow-Failure__py-qa,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/vindarel/abelujo,omitted,n,"optional-job, code-quality",,,,200205-181229,closed,FALSE,0,1,0,NULL,reaction:negative,3,2,195,
gnutls__libtasn1__Job-Retry__x86,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/gnutls/libtasn1,omitted,y,,"flaky-env, no-trust",,not-now,200205-181250,closed,FALSE,1,0,4,NULL,decision:accept,22,5,33,12430914071
valtron__msn-server__Versioning__requirementstxt__lxml__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/valtron/msn-server,omitted,n,,"agreement, no-time",,not-now,200205-181253,closed,FALSE,0,1,4,NULL,reason:benefitoffutureupdates,5,1,63,
fdroid__fdroidclient__Job-Retry__connected-22-default-armeabi-v7a,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/fdroid/fdroidclient,omitted,n,,flaky-env,,reject,200205-181256,closed,FALSE,0,1,2,NULL,reaction:negative,120,11,148,
wpdesk__wp-dataset__Job-Retry__deploy-to-shop,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/wpdesk/wp-dataset,omitted,,,,,,200205-181151,opened,FALSE,0,0,0,NULL,NULL,3,0,0,
atomap__atomap__Job-Allow-Failure__style_checks_flake8_docstrings,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/atomap/atomap,omitted,y,,,,,200205-181300,closed,FALSE,1,0,0,NULL,decision:fix,9,5,111,1939017040
NTPsec__ntpsec__Job-Retry__ubuntu-rolling-refclocks,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/NTPsec/ntpsec,omitted,y,,,,positive,200205-181305,closed,FALSE,0,0,5,NULL,decision:fix,33,15,246,280389926
DDP2-CSUI__assignment__Manual-Job__funtest-a1,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/DDP2-CSUI/assignment,omitted,,,,,,200205-181158,opened,FALSE,0,0,0,NULL,NULL,3,0,0,
DMore__chrome-mink-driver__Job-Retry__Headed-chrome-unstable,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/DMore/chrome-mink-driver,omitted,n,,,,,200205-181314,closed,FALSE,0,1,0,NULL,reaction:negative,29,2,3,
materials-modeling__dynasor__Job-Allow-Failure__run_tests,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/materials-modeling/dynasor,omitted,n,,"no-time, agreement",,not-now,200205-181317,closed,FALSE,0,1,2,NULL,NULL,6,2,4,
abrahamwill__Assignment-DDP2__Manual-Job__funtest-a1,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/abrahamwill/Assignment-DDP2,omitted,,,,,,200205-181205,opened,FALSE,0,0,0,NULL,NULL,5,0,0,
ernesto-jimenez-ruiz__OptiqueVQS__Versioning__eu-optique-OptiqueVQS-1-0-0-SNAPSHOT__org-glassfish-jersey-containers-jersey-container-servlet-core__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/ernesto.jimenez.ruiz/OptiqueVQS,omitted,,,,,,200205-181206,opened,FALSE,0,0,0,NULL,NULL,4,0,0,
ase__ase__Versioning__requirementstxt__numpy__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/ase/ase,omitted,n,,let-it-run,,not-now,200205-181322,closed,FALSE,0,0,8,NULL,use-in-paper,87,80,1773,
guardianproject__checkey__Job-Retry__connected-22-default-armeabi-v7a,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/guardianproject/checkey,omitted,,,,,,200205-181208,opened,FALSE,0,0,0,NULL,NULL,5,0,0,
expliot_framework__expliot__Job-Allow-Failure__pylint,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/expliot_framework/expliot,omitted,y,,,,reject,200205-181330,closed,FALSE,0,1,1,NULL,decision:reject,6,6,104,1515197282
codingrights__radarlegislativo__Versioning__requirementstxt__beautifulsoup4__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/codingrights/radarlegislativo,omitted,,,,,,200205-181214,opened,FALSE,0,0,0,NULL,NULL,15,0,0,
sirimangalo__meditation-plus__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/sirimangalo/meditation-plus,omitted,y,,gitlab-template,job-removed,reject,200205-181331,closed,FALSE,0,1,2,NULL,decision:reject,11,7,37,6850062902
lappis-unb__projects__SMI__smi-slave__Job-Allow-Failure__code_quality,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/lappis-unb/projects/SMI/smi-slave,omitted,,,,,,200205-181217,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
denkmal__denkmal-website__Job-Retry__deploy-production,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/denkmal/denkmal-website,omitted,n,,flaky-env,,reject,200205-181333,closed,TRUE,0,1,2,NULL,reason:flakiness,4,3,17,
jerrya__nextferry__Job-Retry__pages,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/jerrya/nextferry,omitted,,,,,,200205-181220,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
jkrooswyk__the-monolith__Job-Allow-Failure__stop_review,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/jkrooswyk/the-monolith,omitted,,,,,,200205-181221,opened,FALSE,0,1,1,NULL,NULL,7,0,0,
linux-wiiu__debian-wiiu-repo__Manual-Job__make-pkgs,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/linux-wiiu/debian-wiiu-repo,omitted,,,,,,200205-181223,closed,FALSE,0,1,1,NULL,NULL,2,0,0,
remram44__taguette__Versioning__gitlabyaml__psycopg2__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/remram44/taguette,omitted,n,pip-install,,,,200205-181335,closed,FALSE,0,1,0,R-invalid,decision:reject,9,3,69,
dennismaxjung__vscode-dotnet-auto-attach__Job-Allow-Failure__code_quality,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/dennismaxjung/vscode-dotnet-auto-attach,omitted,,,,,,200205-181226,opened,TRUE,1,0,0,NULL,NULL,3,0,0,
sbarthelemy__conan-public-recipes__Manual-Job__package-toolchain-ubuntu-16-04,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/sbarthelemy/conan-public-recipes,omitted,n,,no-trust,,reject,200205-181341,closed,FALSE,0,0,2,NULL,NULL,8,2,7,
stavros__Spamnesty__Versioning__gitlabyaml__pipenv__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/stavros/Spamnesty,omitted,y,,,undirect-fix,reject,200205-181342,closed,FALSE,0,1,3,NULL,decision:reject,4,1,1,2786181858
recalbox__recalbox__Manual-Job__build-odroidxu4-for-test,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/recalbox/recalbox,omitted,n,,,,,200205-181350,closed,FALSE,0,0,0,NULL,reaction:negative,108,11,152,
allianceauth__allianceauth__Versioning__gitlabyaml__virtualenv__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/allianceauth/allianceauth,omitted,y,,,undirect-fix,invalid,200205-181358,closed,FALSE,0,1,1,NULL,decision:reject,48,7,49,12733180848
remcohaszing__eslint-formatter-gitlab__Job-Allow-Failure__dependency-scanning,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/remcohaszing/eslint-formatter-gitlab,omitted,n,,depedency-scanning,,reject,200205-181400,closed,FALSE,0,1,2,NULL,decision:reject,2,1,2,
zoomonit__greenpepper__Manual-Job__create_builder,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/zoomonit/greenpepper,omitted,,,,,,200205-181240,opened,FALSE,0,0,0,NULL,NULL,7,0,0,
archbuild__packages__firefox-nightly__Job-Retry__package,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/archbuild/packages/firefox-nightly,omitted,,,,,,200205-181241,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
rpdev__opentodolist__Manual-Job__macos,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/rpdev/opentodolist,omitted,y,,no-enough-hardware,,not-now,200205-181411,closed,FALSE,0,0,3,NULL,use-in-paper,6,3,131,4785730492
neonox31__podcast-server__Job-Retry__test-19,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/neonox31/podcast-server,omitted,,,,,,200205-181244,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
universe6__selfstudythai__Manual-Job__pages,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/universe6/selfstudythai,omitted,,,,,,200205-181244,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
pgjones__quart-cors__Versioning__gitlabyaml__tox__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/pgjones/quart-cors,omitted,,,,,,200205-181245,closed,FALSE,0,1,2,NULL,decision:reject,2,0,0,
formschema__native__Job-Allow-Failure__security-scan,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/formschema/native,omitted,,,,,,200205-181247,opened,TRUE,1,0,0,NULL,reaction:positive,3,0,0,
jlack__rdl__Job-Retry__build_and_test,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/jlack/rdl,omitted,,,,,,200205-181249,closed,FALSE,1,0,0,NULL,decision:reject,2,0,0,
randy408__libspng__Manual-Job__coverity,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/randy408/libspng,omitted,y,,,,positive,200205-181413,closed,FALSE,1,0,2,NULL,decision:fix,4,3,74,169779979
picos-api__picos__Versioning__gitlabyaml__swiglpk__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/picos-api/picos,omitted,n,pip-install,,,,200205-181419,closed,FALSE,0,0,0,NULL,reaction:negative,21,1,4,
francois-travais__1tipi2bicycles__Job-Retry__deploy-production,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/francois.travais/1tipi2bicycles,omitted,,,,,,200205-181254,opened,FALSE,0,0,0,NULL,NULL,2,0,0,
vaghtgir__telegram-cli-binary__Manual-Job__build,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/vaghtgir/telegram-cli-binary,omitted,,,,,,200205-181255,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
passit__passit-backend__Versioning__requirementstxt__freezegun__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/passit/passit-backend,omitted,n,,tool-upgrade,,reject,200205-181421,closed,FALSE,0,0,2,NULL,reason:benefitoffutureupdates,11,1,9,
mayan-edms__mayan-edms__Versioning__gitlabyaml__psycopg2__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/mayan-edms/mayan-edms,omitted,y,,,,positive,200205-181422,closed,TRUE,0,0,1,Accepted,decision:accept,28,11,726,6429672846
wallzero__jsplumb-react__Job-Retry__publish,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/wallzero/jsplumb-react,omitted,,,,,,200205-181302,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
wrobell__remt__Versioning__requirementstxt__asyncio-contextmanager__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/wrobell/remt,omitted,,,,,,200205-181304,closed,FALSE,0,0,6,NULL,reaction:negative,1,0,0,
smallstack__infrastructure__gitlab-runner-cli__Manual-Job__execute,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/smallstack/infrastructure/gitlab-runner-cli,omitted,,,,,,200205-181305,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
tglman__persy__Job-Allow-Failure__coverage_report,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/tglman/persy,omitted,y,,flaky-tool,,positive,200205-181427,closed,FALSE,0,0,3,NULL,decision:fix,7,7,177,790864771
gableroux__unity3d__Job-Retry__build-master-unity_2019_1_14f1,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/gableroux/unity3d,omitted,n,,"flaky-tool, flaky-env, no-trust",,not-now,200205-181431,closed,FALSE,0,0,4,NULL,use-in-paper,20,9,177,
IonicZoo__pigeon-restful-provider__Job-Retry__build,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/IonicZoo/pigeon-restful-provider,omitted,,,,,,200205-181312,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
bagage__cadastre-conflation__Job-Retry__build_front,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/bagage/cadastre-conflation,omitted,,,,,,200205-181312,deleted,FALSE,1,0,1,NULL,decision:fix,-1,-1,-1,
demsking__image-downloader__Job-Allow-Failure__security-scan,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/demsking/image-downloader,omitted,,,,,,200205-181313,opened,TRUE,0,0,0,NULL,decision:pending,8,0,0,
sgrignard__serpyco__Versioning__requirementstxt__black__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/sgrignard/serpyco,omitted,y,,,,,200205-181432,closed,FALSE,1,0,0,NULL,NULL,2,1,11,4783396294
terrasubmersa__terra-submersa-portal__Job-Retry__frontend_test_unit,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/terrasubmersa/terra-submersa-portal,omitted,,,,,,200205-181315,opened,FALSE,0,0,0,NULL,NULL,3,0,0,
pipeline-patterns__django-cloudfoundry__Manual-Job__trigger_without_sample,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/pipeline-patterns/django-cloudfoundry,omitted,,,,,,200205-181316,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
Radiophonix__Radiophonix__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/Radiophonix/Radiophonix,omitted,,,,,,200205-181317,deleted,FALSE,0,0,0,NULL,reaction:negative,-1,-1,-1,
